Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,
ATVI, Activision Blizzard Inc, 74.09, 2.92,4.1, 8889484, 1.9,
ADBE, Adobe Systems Incorporated, 261.51, 4.51,1.75, 3862275, 1.9,
ALXN, Alexion Pharmaceuticals Inc., 117.5, 0.7,0.6, 622446, .1,
ALGN, Align Technology Inc., 367.6, 4.01,1.1, 614358, .3,
GOOG, Alphabet Inc., 1220.65, 15.27,1.27, 946840, 4.6,
GOOGL, Alphabet Inc., 1236.75, 15.59,1.28, 1222653, 4.0,
AMZN, Amazon.com Inc., 1905.39, 2.49,0.13, 2800863, 1.1,
AAL, American Airlines Group Inc., 38.82, -0.01,-0.03, 3561731, .0,
AMGN, Amgen Inc., 196.64, 0.04,0.02, 1358458, .0,
ADI, Analog Devices Inc., 98.78, 1.39,1.43, 2674789, .5,
AAPL, Apple Inc., 216.16, 0.67,0.31, 18476356, 2.9,
AMAT, Applied Materials Inc., 42.73, -0.06,-0.14, 8294746, -.1,
ASML, ASML Holding N.V., 202.98, 3.44,1.72, 301912, .2,
ADSK, Autodesk Inc., 157.2, 20.89,15.33, 8511153, 4.0,
ADP, Automatic Data Processing Inc., 143.59, 0.24,0.17, 1087519, .1,
BIDU, Baidu Inc., 224.36, 5.06,2.31, 2813465, 1.2,
BIIB, Biogen Inc., 342.33, 0.44,0.13, 619962, .1,
BMRN, BioMarin Pharmaceutical Inc., 98.76, -0.33,-0.33, 752457, -.1,
BKNG, Booking Holdings Inc., 1903.34, 8.44,0.45, 411408, .4,
AVGO, Broadcom Inc., 209, 3.41,1.66, 2054407, 1.2,
CA, CA Inc., 43.94, 0.19,0.43, 8401451, .1,
CDNS, Cadence Design Systems Inc., 46.82, 0.45,0.97, 888414, .1,
CELG, Celgene Corporation, 89.93, 0.09,0.1, 3406461, .1,
CERN, Cerner Corporation, 65.42, 0.15,0.23, 835866, .0,
CHTR, Charter Communications Inc., 300.67, 7.28,2.48, 1172522, 1.5,
CHKP, Check Point Software Technologies Ltd., 115.74, 0.32,0.28, 917518, .0,
CTAS, Cintas Corporation, 212.63, 0.24,0.11, 228376, .0,
CSCO, Cisco Systems Inc., 46.32, 0.3,0.65, 15575183, 1.2,
CTXS, Citrix Systems Inc., 112.97, 1.02,0.91, 845138, .1,
CTSH, Cognizant Technology Solutions Corporation, 75.86, 0.75,1, 2399200, .4,
CMCSA, Comcast Corporation, 36.5, 1.19,3.37, 24501886, 4.7,
COST, Costco Wholesale Corporation, 231.28, 1.77,0.77, 1453290, .7,
CSX, CSX Corporation, 74.65, 0.7,0.95, 4292054, .5,
CTRP, Ctrip.com International Ltd., 39.34, 0.26,0.67, 2524798, .1,
XRAY, DENTSPLY SIRONA Inc., 38.5, 0.38,1, 2383985, .1,
DLTR, Dollar Tree Inc., 93.46, -0.71,-0.75, 2105186, -.2,
EBAY, eBay Inc., 34.53, 0.13,0.38, 5412506, .1,
EA, Electronic Arts Inc., 128.97, 2.86,2.27, 3483429, .8,
EXPE, Expedia Group Inc., 130.22, 1.3,1.01, 891542, .2,
ESRX, Express Scripts Holding Company, 87.91, 0.18,0.21, 3795042, .1,
FB, Facebook Inc., 174.645, 1.745,1.01, 14631556, 3.6,
FAST, Fastenal Company, 59.48, -0.87,-1.44, 3124215, -.2,
FISV, Fiserv Inc., 80.03, 0.38,0.48, 1445185, .1,
GILD, Gilead Sciences Inc., 73.59, 0.25,0.34, 4767096, .3,
HAS, Hasbro Inc., 100.99, 1.06,1.06, 563002, .1,
HSIC, Henry Schein Inc., 81.15, -0.2,-0.25, 961174, .0,
HOLX, Hologic Inc., 39.06, 0.43,1.11, 1300170, .1,
IDXX, IDEXX Laboratories Inc., 249.5, 3.53,1.44, 497120, .3,
ILMN, Illumina Inc., 340.6, 4.88,1.45, 793290, .6,
INCY, Incyte Corporation, 70.08, 0.9,1.3, 1936222, .2,
INTC, Intel Corporation, 47.66, 0.68,1.45, 18214708, 2.8,
INTU, Intuit Inc., 216.63, 4.18,1.97, 2736999, .9,
ISRG, Intuitive Surgical Inc., 541.52, 4.31,0.8, 400196, .4,
JBHT, J.B. Hunt Transport Services Inc., 123.8, 0.31,0.25, 302729, .0,
JD, JD.com Inc., 31.4, 0.01,0.03, 12823198, .0,
KLAC, KLA-Tencor Corporation, 115.44, 1.51,1.33, 853839, .2,
LRCX, Lam Research Corporation, 172.46, -0.31,-0.18, 2012599, .0,
LBTYA, Liberty Global plc, 26.69, 0.79,3.05, 2290461, .2,
LBTYK, Liberty Global plc, 25.84, 0.62,2.46, 2160603, .3,
MAR, Marriott International, 123.11, 0.93,0.76, 1408388, .3,
MXIM, Maxim Integrated Products Inc., 61.75, 0.08,0.13, 1370775, .0,
MELI, MercadoLibre Inc., 367.54, 19.21,5.51, 1453416, .7,
MCHP, Microchip Technology Incorporated, 86.98, 1.31,1.53, 2490117, .3,
MU, Micron Technology Inc., 50.7, 1,2.01, 24785525, 1.0,
MSFT, Microsoft Corporation, 108.4, 0.84,0.78, 17234020, 5.6,
MDLZ, Mondelez International Inc., 42.39, 0.3,0.71, 4805764, .4,
MNST, Monster Beverage Corporation, 60.65, -0.03,-0.05, 1330363, .0,
MYL, Mylan N.V., 38.69, 0.83,2.19, 4527485, .4,
NTES, NetEase Inc., 207.49, 1.74,0.85, 581968, .1,
NFLX, Netflix Inc., 358.82, 19.65,5.79, 14729137, 7.4,
NVDA, NVIDIA Corporation, 272.22, 5.38,2.02, 13287762, 2.8,
ORLY, O'Reilly Automotive Inc., 330.67, -0.98,-0.3, 424897, -.1,
PCAR, PACCAR Inc., 67.43, 0.81,1.22, 1930942, .3,
PAYX, Paychex Inc., 72.99, 0.25,0.34, 1121293, .1,
PYPL, PayPal Holdings Inc., 90.1, 2.72,3.11, 7403855, 2.8,
PEP, Pepsico Inc., 112.15, 0.22,0.2, 3677721, .3,
QCOM, QUALCOMM Incorporated, 67.15, 0.29,0.43, 16001392, .4,
QRTEA, Qurate Retail Inc., 20.67, 0.03,0.15, 1749003, .0,
REGN, Regeneron Pharmaceuticals Inc., 376.33, -2.86,-0.75, 421251, -.3,
ROST, Ross Stores Inc., 95.09, 0.06,0.06, 7465346, .0,
STX, Seagate Technology PLC, 55.75, 0.03,0.05, 1853611, .0,
SHPG, Shire plc, 174.14, 3.72,2.18, 735386, .2,
SIRI, Sirius XM Holdings Inc., 6.96, 0.06,0.87, 11369981, .2,
SWKS, Skyworks Solutions Inc., 92.99, 0.68,0.74, 1416842, .1,
SBUX, Starbucks Corporation, 52.75, 0.09,0.17, 9850039, .1,
SYMC, Symantec Corporation, 19.76, 0.14,0.71, 5706084, .1,
SNPS, Synopsys Inc., 102.13, 1.44,1.43, 1969647, .2,
TMUS, T-Mobile US Inc., 65.41, 0.2,0.31, 1945599, .2,
TTWO, Take-Two Interactive Software Inc., 134.01, 3.33,2.55, 1928708, .3,
TSLA, Tesla Inc., 322.82, 2.72,0.85, 3602564, .4,
TXN, Texas Instruments Incorporated, 113.64, 1.24,1.1, 3191880, 1.1,
KHC, The Kraft Heinz Company, 59.03, 0.23,0.39, 4513226, .2,
FOX, Twenty-First Century Fox Inc., 44.58, -0.08,-0.18, 4312391, -.1,
FOXA, Twenty-First Century Fox Inc., 45.17, -0.1,-0.22, 6846189, -.1,
ULTA, Ulta Beauty Inc., 241.67, 2.27,0.95, 719910, .1,
VRSK, Verisk Analytics Inc., 117.94, 0.55,0.47, 451806, .1,
VRTX, Vertex Pharmaceuticals Incorporated, 176.84, 0.82,0.47, 905185, .2,
VOD, Vodafone Group Plc, 22.83, -0.01,-0.04, 3678730, .0,
WBA, Walgreens Boots Alliance Inc., 69.21, -0.07,-0.1, 5435006, -.1,
WDC, Western Digital Corporation, 63.81, 0.46,0.73, 2617030, .1,
WDAY, Workday Inc., 151, 5.32,3.65, 1875098, .7,
WYNN, Wynn Resorts Limited, 145.9, 0.76,0.52, 1438742, .1,
XLNX, Xilinx Inc., 73.79, 0.63,0.86, 1647215, .1,
